Node,Is Injection,Is Hvdc,Bus Id,Location Name,Load Area,Island Name,Region,Generation Type
NPL1101 NPL0,T,F,NPL1101,NPL,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Gas
NPL2201 NPL5,T,F,NPL2201,NPL,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Gas
NPL2201 NPL4,T,F,NPL2201,NPL,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Gas
NPL2201 NPL3,T,F,NPL2201,NPL,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Gas
NPL2201 NPL0,T,F,NPL2201,NPL,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Gas
NSY0331 PAE0,T,F,NSY0331,NSY,Southland Otago,South Island,Otago/Southland,Hydro
NSY0331 NSY0,T,F,NSY0331,NSY,Southland Otago,South Island,Otago/Southland,Hydro
NSY0331,F,F,NSY0331,NSY,Southland Otago,South Island,Otago/Southland,Load
OAM0331,F,F,OAM0331,OAM,Southland Otago,South Island,South Canterbury,Load
OHA2201,F,F,OHA2201,OHA,Southland Otago,South Island,South Canterbury,Load
OHA2201 OHA0,T,F,OHA2201,OHA,Southland Otago,South Island,South Canterbury,Hydro
OHA2201 TPV,T,F,OHA2201,OHA,Southland Otago,South Island,South Canterbury,Hydro
OHB2201,F,F,OHB2201,OHB,Southland Otago,South Island,South Canterbury,Load
OHB2201 OHB0,T,F,OHB2201,OHB,Southland Otago,South Island,South Canterbury,Hydro
OHC2201,F,F,OHC2201,OHC,Southland Otago,South Island,South Canterbury,Load
OHC2201 OHC0,T,F,OHC2201,OHC,Southland Otago,South Island,South Canterbury,Hydro
OHK2201 OHK0,T,F,OHK2201,OHK,Bay of Plenty,North Island,Waikato,Load
OHK2201,F,F,OHK2201,OHK,Bay of Plenty,North Island,Waikato,Load
OKI0111,F,F,OKI0111,OKI,Waikato Taupo King Country,North Island,Waikato,Load
OKI2201,F,F,OKI2201,OKI,Waikato Taupo King Country,North Island,Waikato,Load
OKI2201 OKI0,T,F,OKI2201,OKI,Waikato Taupo King Country,North Island,Waikato,Geothermal
OKN0111,F,F,OKN0111,OKN,Waikato Taupo King Country,North Island,Central,Load
ONG0331 KUR0,T,F,ONG0331,ONG,Waikato Taupo King Country,North Island,Central,Hydro
ONG0331,F,F,ONG0331,ONG,Waikato Taupo King Country,North Island,Central,Load
OPK0331,F,F,OPK0331,OPK,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Load
ORO1101,F,F,ORO1101,ORO,West Coast Nelson Marlborough,South Island,Nelson/Marlborough,Load
ORO1102,F,F,ORO1102,ORO,West Coast Nelson Marlborough,South Island,Nelson/Marlborough,Load
OTA0221,F,F,OTA0221,OTA,Auckland,North Island,Auckland,Cogen
OTA1101 OTG1,T,F,OTA1101,OTA,Auckland,North Island,Auckland,Gas
OTA1101 OTG0,T,F,OTA1101,OTA,Auckland,North Island,Auckland,Gas
OTA1101,F,F,OTA1101,OTA,Auckland,North Island,Auckland,Load
OTA1102,F,F,OTA1102,OTA,Auckland,North Island,Auckland,Load
OTA1102 OTG4,T,F,OTA1102,OTA,Auckland,North Island,Auckland,Gas
OTA1102 OTG0,T,F,OTA1102,OTA,Auckland,North Island,Auckland,Gas
OTA2202,F,F,OTA2202,OTA,Auckland,North Island,Auckland,Load
OTA2202 OTC0,T,F,OTA2202,OTA,Auckland,North Island,Auckland,Gas
OTI0111,F,F,OTI0111,OTI,West Coast Nelson Marlborough,South Island,Nelson/Marlborough,Load
OWH0111,F,F,OWH0111,OWH,Bay of Plenty,North Island,Bay Of Plenty,Load
PAK0331,F,F,PAK0331,PAK,Auckland,North Island,Auckland,Load
PAL0331,F,F,PAL0331,PAL,Southland Otago,South Island,Otago/Southland,Load
PAP0111,F,F,PAP0111,PAP,Canterbury,South Island,Canterbury,Load
PAP0661,F,F,PAP0661,PAP,Canterbury,South Island,Canterbury,Load
PEN0221,F,F,PEN0221,PEN,Auckland,North Island,Auckland,Load
PEN0331,F,F,PEN0331,PEN,Auckland,North Island,Auckland,Load
PEN1101,F,F,PEN1101,PEN,Auckland,North Island,Auckland,Load
PNI0331,F,F,PNI0331,PNI,Wellington,North Island,Wellington,Load
PPI2201,F,F,PPI2201,PPI,Waikato Taupo King Country,North Island,Waikato,Load
PPI2201 PPI0,T,F,PPI2201,PPI,Waikato Taupo King Country,North Island,Waikato,Geothermal
PPI2201 MCN0,T,F,PPI2201,PPI,Waikato Taupo King Country,North Island,Waikato,Geothermal
PRM0331,F,F,PRM0331,PRM,Wellington,North Island,Wellington,Load
RDF0331,F,F,RDF0331,RDF,Hawkes' Bay East Coast Wairarapa,North Island,Hawkes Bay,Load
RFN1101,F,F,RFN1101,RFN,West Coast Nelson Marlborough,South Island,Nelson/Marlborough,Load
RFN1102,F,F,RFN1102,RFN,West Coast Nelson Marlborough,South Island,Nelson/Marlborough,Load
ROB1101,F,F,ROB1101,ROB,West Coast Nelson Marlborough,South Island,Nelson/Marlborough,Load
ROS0221,F,F,ROS0221,ROS,Auckland,North Island,Auckland,Load
ROS1101,F,F,ROS1101,ROS,Auckland,North Island,Auckland,Load
